                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1809,                 2.9408,                 1.5964,                0.37898,                0.46908,                0.36609,                0.24184,                 1.0473,                 2.0376,                 1.5862,               0.070265,              0.0033038,              0.0033038
                      1,                 1.1363,                 1.8164,                  1.538,                0.56159,                0.63025,                0.63524,                0.41573,                 1.0296,                 1.3309,                 1.5279,               0.039608,              0.0059801,              0.0059801
                      2,                 1.1774,                 1.5953,                 1.5494,                0.49295,                0.57924,                0.55087,                0.31373,                 1.2744,                 1.8845,                 1.8017,              0.0082913,              0.0079963,              0.0079963
                      3,                 1.2688,                  1.694,                 1.6008,                0.50705,                0.53669,                0.51228,                0.28951,                 1.3012,                 1.6582,                 1.8039,                0.00703,                0.00703,                0.00703
                      4,                 1.3271,                 1.7093,                 1.6544,                0.49824,                0.54616,                0.52959,                0.27457,                 1.4143,                  1.701,                 1.9284,                0.00703,                0.00703,                0.00703
                      5,                 1.3827,                 1.7535,                 1.6955,                0.57407,                0.63811,                0.61701,                0.34875,                 1.3826,                 1.5518,                 1.8788,                0.00604,                0.00604,                0.00604
                      6,                 1.3105,                  1.594,                 1.6492,                0.52573,                0.64231,                0.56705,                0.34149,                 1.2112,                 1.5633,                  1.678,                0.00505,                0.00505,                0.00505
                      7,                 1.2322,                 1.4981,                 1.5727,                0.68832,                0.67788,                0.72245,                0.42973,                 1.2166,                 1.2909,                 1.6909,                0.00406,                0.00406,                0.00406
                      8,                 1.1629,                  1.309,                 1.5006,                0.71038,                 0.6826,                 0.7391,                0.44194,                  1.143,                 1.2439,                 1.6173,                0.00307,                0.00307,                0.00307
                      9,                 1.0963,                 1.1979,                 1.4757,                0.79167,                  0.735,                 0.7968,                 0.4997,                 1.1064,                 1.0764,                  1.555,                0.00208,                0.00208,                0.00208
